Symbol,Company_Name,Sector,Industry,Market_Cap,P_E_Ratio,Dividend_Yield,EPS,Revenue,Profit_Margin,Debt_to_Equity,Current_Ratio,ROE,ROA,Beta,52_Week_High,52_Week_Low,Average_Volume,Shares_Outstanding,Market_Cap_Category
MMM,3M Company,Industrials,Conglomerates,89601728512.0,26.901115,1.74,6.27,24824999936.0,0.137,281.904,1.842,0.72920996,0.07971,1.152,172.85,121.98,3017342.0,531225048.0,Large Cap
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,9160456192.0,17.733154,2.09,3.71,3830099968.0,0.13851,12.063,1.544,0.28209,0.13878,1.336,77.31,58.83,1113031.0,113372121.0,Mid Cap
ABT,Abbott Laboratories,Healthcare,Medical Devices,220836741120.0,15.954774,1.87,7.96,43842998272.0,0.3188,25.31,1.703,0.3062,0.067930005,0.719,141.23,110.86,5752201.0,1738871947.0,Large Cap
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,397961986048.0,171.8855,3.16,1.31,59643998208.0,0.04004,,0.725,1.37961,0.09585,0.352,244.81,163.81,5470176.0,1767384632.0,Large Cap
ACN,Accenture plc,Technology,Information Technology Services,150420881408.0,19.963787,2.67,12.15,69672976384.0,0.11021,25.38,1.42,0.25509,0.111829996,1.262,398.35,229.4,4687495.0,620138892.0,Large Cap
ADBE,Adobe Inc.,Technology,Software - Application,139485888512.0,20.761372,,16.05,23181000704.0,0.30012,56.542,1.019,0.52875,0.18094,1.536,557.9,323.03,4288867.0,418600000.0,Large Cap
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,386692448256.0,125.01053,,1.9,32027000832.0,0.10323,6.366,2.308,0.05317,0.025980001,1.913,267.08,76.48,58077031.0,1628041540.0,Large Cap
AES,The AES Corporation,Utilities,Utilities - Diversified,10161966080.0,9.388158,4.95,1.52,12094000128.0,0.0874,302.896,0.723,0.05106,0.02269,1.003,15.51,9.46,10211348.0,712120944.0,Large Cap
AFL,Aflac Incorporated,Financial Services,Insurance - Life,59638923264.0,14.952694,2.04,7.61,17700999168.0,0.23552,50.003,1.089,0.1558,0.02645,0.66,115.43,96.95,2271392.0,524113917.0,Large Cap
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,42360631296.0,34.992973,0.68,4.27,6787999744.0,0.17973,56.421,2.248,0.19881001,0.08354,1.279,153.84,96.43,1664829.0,283500427.0,Large Cap
APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,58360242176.0,,2.77,-1.73,12037300224.0,-0.03277,105.56,1.381,-0.01923,0.04409,0.871,341.14,235.55,1105125.0,222553640.0,Large Cap
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,74296033280.0,29.243437,,4.19,11943000064.0,0.2203,26.458,1.392,0.30776,0.07475,1.112,163.93,99.88,4818687.0,425294120.0,Large Cap
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,13035628544.0,26.571848,,3.41,4133201920.0,0.12262999,110.548,2.281,0.10642,0.03785,0.701,103.75,67.51,1997978.0,143865237.0,Large Cap
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,12226419712.0,,1.56,-1.6,4946415104.0,-0.00428,36.655,2.273,0.00209,0.0014,1.462,113.91,49.43,3614704.0,117697540.0,Large Cap
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,9479453696.0,,9.73,-2.47,3058394880.0,-0.13436,66.083,1.579,-0.01084,0.010670001,1.324,112.42,52.94,2013662.0,172825059.0,Mid Cap
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,10367157248.0,28.00194,,5.16,3982621952.0,0.095010005,3.064,1.289,0.095769994,0.06323,1.868,246.19,122.0,1291465.0,71749995.0,Large Cap
