Date,US_10Yr_Bond_Yield,CPI_All_Urban_Consumers,Unemployment_Rate,Industrial_Production_Index,Term_Spread,VIX
2020-11-13,0.89,,,,0.72,23.1
2020-11-16,0.91,,,,0.72,22.45
2020-11-17,0.87,,,,0.69,22.71
2020-11-18,0.88,,,,0.72,23.84
2020-11-19,0.86,,,,0.68,23.11
2020-11-20,0.83,,,,0.67,23.7
2020-11-23,0.86,,,,0.7,22.66
2020-11-24,0.88,,,,0.72,21.64
2020-11-25,0.88,,,,0.71,21.25
2020-11-26,0.88,,,,0.71,21.25
2020-11-27,0.84,,,,0.68,20.84
2020-11-30,0.84,,,,0.68,20.57
2020-12-01,0.92,262.045,6.7,98.2039,0.75,20.77
2020-12-02,0.95,262.045,6.7,98.2039,0.79,21.17
2020-12-03,0.92,262.045,6.7,98.2039,0.76,21.28
2020-12-04,0.97,262.045,6.7,98.2039,0.81,20.79
2020-12-07,0.94,262.045,6.7,98.2039,0.8,21.3
2020-12-08,0.92,262.045,6.7,98.2039,0.78,20.68
2020-12-09,0.95,262.045,6.7,98.2039,0.79,22.27
2020-12-10,0.92,262.045,6.7,98.2039,0.78,22.52
2020-12-11,0.9,262.045,6.7,98.2039,0.79,23.31
2020-12-14,0.9,262.045,6.7,98.2039,0.77,24.72
2020-12-15,0.92,262.045,6.7,98.2039,0.81,22.89
2020-12-16,0.92,262.045,6.7,98.2039,0.79,22.5
2020-12-17,0.94,262.045,6.7,98.2039,0.81,21.93
2020-12-18,0.95,262.045,6.7,98.2039,0.82,21.57
2020-12-21,0.95,262.045,6.7,98.2039,0.82,25.16
2020-12-22,0.93,262.045,6.7,98.2039,0.8,24.23
2020-12-23,0.96,262.045,6.7,98.2039,0.83,23.31
2020-12-24,0.94,262.045,6.7,98.2039,0.81,21.53
2020-12-25,0.94,262.045,6.7,98.2039,0.81,21.53
2020-12-28,0.94,262.045,6.7,98.2039,0.81,21.7
2020-12-29,0.94,262.045,6.7,98.2039,0.82,23.08
2020-12-30,0.93,262.045,6.7,98.2039,0.81,22.77
